section,key,text,context,
case_studies,russell_approach,"Diseñé y gestioné campañas multicanal en adquisición, activación y referencias.",Approach text,
case_studies,russell_result_number,$6.3M+,Result number,
case_studies,russell_result_text,recaudados en crowdfunding,Result text,
case_studies,russell_cta,Ver Detalles,CTA button,
case_studies,coca_cola_title,Coca-Cola & Powerade – Campañas Olímpicas,Case study title,
case_studies,coca_cola_logo_alt,Logo Coca-Cola & Powerade – Campañas Olímpicas,Logo alt text,
case_studies,coca_cola_challenge,Activar patrocinios olímpicos de Coca-Cola y Powerade en LATAM.,Challenge text,
case_studies,coca_cola_approach,Creé campañas digitales fusionando storytelling deportivo con engagement de marca.,Approach text,
case_studies,coca_cola_result_number,10M+,Result number,
case_studies,coca_cola_result_text,impresiones entregadas durante los Juegos,Result text,
case_studies,coca_cola_cta,Ver Detalles,CTA button,
case_studies,label_challenge,Desafío:,Label for challenge section,
case_studies,label_approach,Enfoque:,Label for approach section,
case_studies,label_impact,Impacto:,Label for impact section,
capabilities,section_title,Cómo Ayudo,Section title,
capabilities,section_subtitle,"Combinando IA, Web3 y marketing de performance para generar resultados reales.",Section subtitle,
capabilities,ai_title,Crecimiento Impulsado por IA,Capability title,
capabilities,ai_description,"Optimiza campañas en tiempo real, crea contenido de alta conversión y personaliza experiencias a escala con IA.",Capability description,
capabilities,ai_tool_1,ChatGPT,Tool badge,
capabilities,ai_tool_2,MidJourney,Tool badge,
capabilities,ai_tool_3,Jasper,Tool badge,
capabilities,web3_title,Construcción de Comunidad Web3,Capability title,
capabilities,web3_description,"Crea comunidades leales con incentivos tokenizados, crecimiento orgánico en Discord y herramientas de engagement Web3.",Capability description,
capabilities,web3_tool_1,Binance,Tool badge,
capabilities,web3_tool_2,WalletConnect,Tool badge,
capabilities,web3_tool_3,Discord,Tool badge,
capabilities,data_title,Rendimiento Basado en Datos,Capability title,
capabilities,data_description,"Convierte datos complejos en insights accionables con atribución avanzada, automatización y escalabilidad.",Capability description,
capabilities,data_tool_1,Google Analytics,Tool badge,
capabilities,data_tool_2,Looker Studio,Tool badge,
capabilities,data_tool_3,HubSpot,Tool badge,
capabilities,cta_work_with_me,Trabaja Conmigo,CTA button,
journey,section_title,Mi Trayectoria,Section title,
journey,section_subtitle_bold,De la Disciplina Olímpica al Liderazgo en Crecimiento Digital,Subtitle bold,
journey,section_subtitle,Una línea de tiempo de los hitos que dieron forma a mi visión de rendimiento e innovación.,Subtitle regular,
journey,olympic_journey_title,Trayectoria Olímpica,Section heading,
journey,olympic_journey_emoji,🏊,Emoji icon,
journey,professional_career_title,Transición de Carrera Profesional,Section heading,
journey,professional_career_emoji,💼,Emoji icon,
journey,milestone_1999_year,1999,Year,
journey,milestone_1999_role,Selección Nacional Brasileña,Role,
journey,milestone_1999_desc,Seleccionado para representar a Brasil internacionalmente.,Description,
journey,milestone_2004_year,2004,Year,
journey,milestone_2004_role,Juegos Olímpicos de Atenas,Role,
journey,milestone_2004_desc,Compitió como atleta olímpico en el escenario mundial.,Description,
journey,milestone_2008_year,2008,Year,
journey,milestone_2008_role,Juegos Olímpicos de Pekín,Role,
journey,milestone_2008_desc,Representó a Brasil en unos segundos Juegos Olímpicos.,Description,
journey,milestone_2014_year,2014,Year,
journey,milestone_2014_role,Coca-Cola (Engagement y Activación),Role,
journey,milestone_2014_desc,Gestioné relaciones con atletas y experiencias del consumidor durante la preparación para Río 2016.,Description,
journey,milestone_2016_year,2016,Year,
journey,milestone_2016_role,Programa de Embajadores Olímpicos Powerade,Role,
journey,milestone_2016_desc,Diseñé e implementé activaciones de patrocinio olímpico.,Description,
journey,milestone_2017_year,2017,Year,
journey,milestone_2017_role,Russell Marketing (Gerente de Crecimiento),Role,
journey,milestone_2017_desc,"Lancé más de 40 productos y campañas de crowdfunding, recaudando más de $6M.",Description,
journey,milestone_2020_year,2020,Year,
journey,milestone_2020_role,Neil Patel Digital (Consultor de SEO),Role,
journey,milestone_2020_desc,Escalé NP Brasil a más de 1M de vistas de página mensuales mediante SEO y operaciones de contenido.,Description,
journey,milestone_2022_year,2022,Year,
journey,milestone_2022_role,Binance LATAM (Gerente de Growth Marketing),Role,
journey,milestone_2022_desc,"Gestioné más de $1M en inversión en medios, reduje el CAC en un 20% y escalé comunidades de usuarios.",Description,
journey,milestone_2023_year,2023,Year,
journey,milestone_2023_role,Consultor de Crecimiento Web3,Role,
journey,milestone_2023_desc,"Diseñé estrategias GTM, embudos de comunidad y activaciones NFT para proyectos DeFi.",Description,
journey,milestone_2025_year,2025,Year,
journey,milestone_2025_role,OPAScope (Gerente de SEO/AEO),Role,
journey,milestone_2025_desc,Impulsando crecimiento orgánico impulsado por IA con automatización y optimización de búsqueda.,Description,
journey,cta_read_full_story,Lee mi historia completa →,CTA button,
methods,section_title,Métodos que Uso,Section title,
methods,section_subtitle,Frameworks que uso para impulsar el crecimiento.,Section subtitle,
methods,funnel_title,Embudo de Growth Hacking de 5 Etapas,Method title,
methods,funnel_subtitle,"Convirtiendo usuarios en clientes leales, paso a paso.",Method subtitle,
methods,funnel_image_alt,"Embudo de crecimiento de 5 etapas: Adquisición, Activación, Retención, Referencia, Ingresos",Image alt text,
methods,funnel_description,"Framework para adquisición, activación, retención, referencia e ingresos.",Method description,
methods,funnel_cta,Ve esto en acción →,CTA button,
methods,loops_title,Bucles de Crecimiento,Method title,
methods,loops_subtitle,Diseñando sistemas donde el crecimiento se multiplica.,Method subtitle,
methods,loops_image_alt,"Bucle de crecimiento: Entrada → Acción → Salida, multiplicando el engagement del usuario",Image alt text,
methods,loops_description,"Cada acción del usuario alimenta la siguiente, construyendo impulso.",Method description,
methods,loops_cta,Ve esto en acción →,CTA button,
methods,media_title,Framework de Estrategia de Medios,Method title,
methods,media_subtitle,"Equilibrando Pagada, Propia y Ganada.",Method subtitle,
methods,media_image_alt,"Estrategia de medios unificada: segmentos Pagada, Propia, Ganada",Image alt text,
methods,media_description,"Alinea campañas, comunidad y activos en un plan.",Method description,
methods,media_cta,Ve esto en acción →,CTA button,
tools,section_title,Herramientas,Section title,
tools,section_subtitle,GPTs interactivos y evaluadores para insights rápidos y prácticos.,Section subtitle,
tools,growth_exp_title,Framework de Experimentos de Crecimiento,Tool title,
tools,growth_exp_description,"Rastrea, analiza y aprende de tus experimentos de crecimiento.",Tool description,
tools,growth_exp_category,Herramienta de Crecimiento,Category badge,
tools,growth_exp_tag_1,Airtable,Tech stack tag,
tools,growth_exp_tag_2,Notion,Tech stack tag,
tools,growth_exp_tag_3,Zapier,Tech stack tag,
tools,growth_exp_year,2024,Year,
tools,growth_exp_cta,Pruébalo Ahora →,CTA button,
tools,growth_exp_image_alt,Captura de pantalla de la interfaz del Framework de Experimentos de Crecimiento,Screenshot alt text,
tools,web3_roast_title,Web3 ROAST,Tool title,
tools,web3_roast_description,Insights CRO accionables personalizados para proyectos cripto.,Tool description,
tools,web3_roast_category,Herramienta CRO Cripto,Category badge,
tools,web3_roast_tag_1,NextJS,Tech stack tag,
tools,web3_roast_tag_2,OpenAI,Tech stack tag,
tools,web3_roast_tag_3,Tailwind,Tech stack tag,
tools,web3_roast_year,Beta,Year,
tools,web3_roast_cta,Pruébalo Ahora →,CTA button,
tools,web3_roast_image_alt,Captura de pantalla de la interfaz Web3 ROAST,Screenshot alt text,
tools,token_health_title,Token Health Scan,Tool title,
tools,token_health_description,Escanea proyectos cripto y descubre riesgos críticos antes de escalar.,Tool description,
tools,token_health_category,Herramienta de Riesgo Cripto,Category badge,
tools,token_health_tag_1,Web3 APIs,Tech stack tag,
tools,token_health_tag_2,NextJS,Tech stack tag,
tools,token_health_tag_3,OpenAI,Tech stack tag,
tools,token_health_year,2024,Year,
tools,token_health_cta,Pruébalo Ahora →,CTA button,
tools,token_health_image_alt,Captura de pantalla de la interfaz Token Health Scan,Screenshot alt text,
tools,shopify_title,Shopify Grader,Tool title,
tools,shopify_description,Evalúa y optimiza tu tienda de e-commerce para conversiones.,Tool description,
tools,shopify_category,Herramienta de E-commerce,Category badge,
tools,shopify_tag_1,Shopify API,Tech stack tag,
tools,shopify_tag_2,NextJS,Tech stack tag,
tools,shopify_tag_3,CRO,Tech stack tag,
tools,shopify_year,2024,Year,
tools,shopify_cta,Pruébalo Ahora →,CTA button,
tools,shopify_image_alt,Captura de pantalla de la interfaz Shopify Grader,Screenshot alt text,
publications,section_title,Publicaciones,Section title,
publications,section_subtitle,"Artículos e insights sobre crecimiento, marketing y el futuro de Web3.",Section subtitle,
publications,web3_athletes_title,Cómo Web3 Está Elevando el Juego para los Atletas,Publication title,
publications,web3_athletes_description,"Cómo la tecnología descentralizada abre nuevos ingresos, acceso y engagement para atletas.",Publication description,
publications,web3_athletes_category,Web3,Category badge,
publications,web3_athletes_cta,Leer Artículo,CTA text,
publications,web2_vs_web3_title,Marketing Web2 vs Web3: Navegando el Cambio,Publication title,
publications,web2_vs_web3_description,Lecciones de cruzar el puente entre playbooks centralizados y descentralizados.,Publication description,
publications,web2_vs_web3_category,Marketing,Category badge,
publications,web2_vs_web3_cta,Leer Artículo,CTA text,
publications,vibe_coded_title,Cómo Codifiqué con Vibra Token Health Scan Usando Lovable,Publication title,
publications,vibe_coded_description,Construyendo un escáner impulsado por sentimiento fusionando análisis y señales Web3.,Publication description,
publications,vibe_coded_category,Web3,Category badge,
publications,vibe_coded_cta,Leer Artículo,CTA text,
publications,web3_seo_title,La Guía Definitiva para SEO Web3,Publication title,
publications,web3_seo_description,Tácticas prácticas para hacer proyectos descentralizados descubribles.,Publication description,
publications,web3_seo_category,Web3,Category badge,
publications,web3_seo_cta,Leer Artículo,CTA text,
testimonials,section_title,Lo Que Dicen los Socios,Section title,
testimonials,section_subtitle,"Confiado por líderes globales, emprendedores e innovadores.",Section subtitle,
testimonials,will_quote,"Gabriel ha sido fenomenal durante los últimos 5 años. Desde PPC hasta blogs, de ventas a gestión de proyectos, se destacó en todo. Su deseo de aprender y crecer lo convierte en un compañero valioso y en un activo para cualquier empresa.",Testimonial quote,
testimonials,will_name,Will Russell,Name,
testimonials,will_title,Fundador y CEO,Title,
testimonials,will_company,Russell Marketing,Company,
testimonials,lucas_quote,Gabriel es un profesional de alto rendimiento con una misión poderosa: ayudar a emprendedores sociales. Su disciplina y mentalidad orientada a resultados lo hacen altamente recomendado.,Testimonial quote,
testimonials,lucas_name,Lucas Bhering,Name,
testimonials,lucas_title,Growth Hacker,Title,
testimonials,jonathan_quote,"Un gran profesional con excelentes ideas y estrategias. Desde el enfoque hasta la activación, Gabriel entrega impacto.",Testimonial quote,
testimonials,jonathan_name,Jonathan Guimarães,Name,
testimonials,jonathan_title,Líder de Marketing,Title,
testimonials,lambert_quote,"Trabajé con Gabriel en el programa de crowdfunding de las Olimpiadas de Río con Sponsorise.Me. Su mentalidad olímpica y adaptabilidad fueron clave para nuestro éxito en siete países. Un profesional talentoso, de mente abierta y siempre en busca de crecimiento.",Testimonial quote,
testimonials,lambert_name,Lambert Sechet,Name,
testimonials,lambert_title,Gerente de Programa Internacional,Title,
testimonials,lambert_company,Sponsorise.Me,Company,
testimonials,cta_button,¿Quieres trabajar juntos? Hablemos.,CTA button,
cta,section_headline,¿Listo para empezar?,Section headline,
cta,section_subheadline,"Abierto a colaboraciones, consultorías de crecimiento y nuevas oportunidades en Web3 y más allá.",Section subheadline,
cta,cta_primary,Trabaja Conmigo,Primary CTA button,
cta,cta_secondary,Conéctate en LinkedIn,Secondary CTA button,
footer,copyright_text,© 2025 Gabriel Mangabeira. Hecho con ❤️ en Florianópolis y desarrollado por,Copyright text,
footer,copyright_lovable,Lovable,Lovable link text,
footer,privacy_policy,Política de Privacidad,Privacy policy link,
footer,disclaimer,"Las ideas y frameworks compartidos aquí son de mi autoría, basados en experiencia práctica e investigación pública. No revelan ni representan el trabajo de ningún empleador o cliente.",Disclaimer text,
footer,social_linkedin,LinkedIn,Social media label,
footer,social_twitter,Twitter,Social media label,
footer,social_github,Medium,Social media label (note: icon says Github but links to Github),
chat,bubble_tooltip,Chatea con mi IA,Tooltip on bubble,
chat,header_title,Chatea con mi IA,Chat panel header,
chat,header_subtitle,"Pregunta sobre mi trayectoria, servicios, casos de estudio o crecimiento Web3.",Chat panel subtitle,
chat,empty_state_line1,Pregúntame cualquier cosa sobre la trayectoria de Gabriel,,Empty state message
chat,empty_state_line2,servicios o experiencia Web3!,Empty state message,
chat,input_placeholder,Escribe tu mensaje...,Input field placeholder,
chat,button_send,Enviar,Send button aria label,
chat,loading_thinking,Pensando...,Loading state message,
chat,disclaimer,Generado por IA. Puede ser imperfecto.,Disclaimer text,
chat,quick_action_book,Reserva una llamada,Quick action button,
chat,quick_action_cases,Casos de estudio,Quick action button,
chat,quick_action_tools,Mis herramientas,Quick action button,
chat,quick_action_pubs,Publicaciones,Quick action button,
chat,aria_open_chat,Abrir chat,Accessibility label,
